occupation_code,alias,normalised_alias,alias_type,country_code,industry_context,language_code,source_id,source_record_id,source_name,confidence,verification_status,review_status,reviewed_by,reviewed_at,review_notes,taxonomy_version
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Electrical engineers,en,uk-soc,uk-soc:b4kl,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Civil engineers,en,uk-soc,uk-soc:b4km,UK Standard Occupational Classification 2020,0.1657,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Electrical engineers,en,uk-soc,uk-soc:b4kn,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Mechanical engineers,en,uk-soc,uk-soc:b4ko,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4kp,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Mechanical engineers,en,uk-soc,uk-soc:b4kq,UK Standard Occupational Classification 2020,0.1644,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Mechanical engineers,en,uk-soc,uk-soc:b4kr,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Engineering professionals n.e.c.,en,uk-soc,uk-soc:b4ks,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Electronics engineers,en,uk-soc,uk-soc:b4kt,UK Standard Occupational Classification 2020,0.155,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Civil engineers,en,uk-soc,uk-soc:b4ku,UK Standard Occupational Classification 2020,0.1665,source_mapped,not_reviewed,,,,2026.1
CPX-OCC-ENG-001,Engineer,engineer,source_preferred_label,GB,Civil engineers,en,uk-soc,uk-soc:b4kv,UK Standard Occupational Classification 2020,0.1665,source_mapped,not_reviewed,,,,2026.1
