code,canonical_name,slug,description,skill_category,parent_skill_code,proficiency_framework,verification_status,review_status,reviewed_by,reviewed_at,review_notes,is_active,taxonomy_version
CPX-SKL-AUTO-1469D77E,Hearing Sensitivity,hearing-sensitivity,The ability to detect or tell the differences between sounds that vary in pitch and loudness.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-1485C224,CoffeeScript,coffeescript,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-1485E59B,AIRMaster+,airmaster,Analytical or scientific software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-14AFF5E6,Advanced Portfolio Technologies Report Builder,advanced-portfolio-technologies-report-builder,Financial analysis software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-14F4C55C,give live presentation,give-live-presentation,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-14F72D18,prevent damage to utility infrastructure,prevent-damage-to-utility-infrastructure,ESCO skill linked to selected occupations.,transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-1508EE9B,bicycle mechanics,bicycle-mechanics,ESCO knowledge linked to selected occupations.,domain_knowledge,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-153CBA2C,Aldata Warehouse Management,aldata-warehouse-management,Materials requirements planning logistics and supply chain software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-15656B11,Bostonpost Technology Property Manager,bostonpost-technology-property-manager,Data base user interface and query software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-15DA0D24,Transferable Skills,transferable-skills,"Skills you can use across different jobs such as communication, problem solving, and team work.",transferable,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
CPX-SKL-AUTO-15E75009,Biomechanical imaging software,biomechanical-imaging-software,Analytical or scientific software,tool,,cpx_1_5,source_mapped,not_reviewed,,,,true,2026.1
